Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
58.701, 54.264, 273.882, 1219.465, 6.283, 0.005, 49.918, -10.000
58.980, 55.663, 279.691, 1161.683, 6.283, 0.005, 50.196, -10.000
59.265, 57.049, 277.283, -481.596, 6.283, 0.005, 50.482, -10.000
59.557, 58.401, 270.383, -1379.962, 6.282, 0.005, 50.774, -10.000
59.855, 59.721, 264.027, -1271.149, 6.280, 0.005, 51.072, -10.001
60.160, 61.012, 258.228, -1159.839, 6.278, 0.005, 51.377, -10.002
60.472, 62.277, 252.935, -1058.630, 6.276, 0.005, 51.689, -10.004
60.789, 63.517, 248.100, -967.059, 6.273, 0.005, 52.006, -10.007
61.113, 64.736, 243.676, -884.686, 6.270, 0.005, 52.330, -10.011
61.443, 65.934, 239.620, -811.196, 6.266, 0.005, 52.660, -10.016
61.778, 67.113, 235.889, -746.253, 6.263, 0.005, 52.995, -10.022
62.120, 68.276, 232.441, -689.645, 6.258, 0.005, 53.336, -10.030
62.467, 69.422, 229.235, -641.165, 6.254, 0.005, 53.683, -10.039
62.820, 70.553, 226.232, -600.672, 6.248, 0.005, 54.036, -10.051
63.178, 71.670, 223.391, -568.048, 6.243, 0.005, 54.394, -10.064
63.542, 72.773, 220.675, -543.228, 6.237, 0.005, 54.757, -10.080
63.911, 73.864, 218.044, -526.163, 6.231, 0.005, 55.126, -10.098
64.286, 74.941, 215.460, -516.818, 6.224, 0.005, 55.500, -10.119
64.666, 76.005, 212.884, -515.216, 6.217, 0.005, 55.880, -10.142
65.051, 77.057, 210.278, -521.312, 6.210, 0.005, 56.264, -10.169
65.442, 78.095, 207.602, -535.124, 6.202, 0.005, 56.653, -10.199
65.837, 79.119, 204.819, -556.637, 6.194, 0.005, 57.048, -10.232
66.238, 80.128, 201.890, -585.822, 6.186, 0.005, 57.447, -10.270
66.643, 81.122, 198.777, -622.626, 6.177, 0.005, 57.850, -10.311
67.054, 82.099, 195.442, -666.898, 6.168, 0.005, 58.258, -10.356
67.469, 83.059, 191.849, -718.566, 6.159, 0.005, 58.670, -10.405
67.889, 83.998, 187.963, -777.348, 6.149, 0.005, 59.087, -10.459
68.314, 84.917, 183.747, -843.022, 6.139, 0.005, 59.507, -10.518
68.743, 85.813, 179.172, -915.176, 6.129, 0.005, 59.932, -10.582
69.176, 86.684, 174.205, -993.413, 6.118, 0.005, 60.360, -10.651
69.614, 87.528, 168.819, -1077.167, 6.108, 0.005, 60.791, -10.725
70.056, 88.343, 162.990, -1165.777, 6.096, 0.005, 61.225, -10.804
70.501, 89.126, 156.697, -1258.534, 6.085, 0.005, 61.663, -10.890
70.951, 89.876, 149.924, -1354.554, 6.073, 0.005, 62.103, -10.981
71.404, 90.589, 142.660, -1452.903, 6.061, 0.005, 62.545, -11.078
71.860, 91.264, 134.897, -1552.519, 6.049, 0.005, 62.990, -11.181
72.319, 91.897, 126.636, -1652.262, 6.037, 0.005, 63.436, -11.290
72.782, 92.486, 117.881, -1750.920, 6.024, 0.005, 63.884, -11.406
73.247, 93.030, 108.645, -1847.242, 6.011, 0.005, 64.333, -11.528
73.715, 93.524, 98.946, -1939.878, 5.998, 0.005, 64.782, -11.657
74.184, 93.968, 88.808, -2027.541, 5.985, 0.005, 65.232, -11.792
