SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 586.312592
IDLE, 0.0, 0.0, 0.0, 586.338736
IDLE, 0.0, 0.0, 0.0, 586.35541
IDLE, 0.0, 0.0, 0.0, 586.386669
IDLE, 0.0, 0.0, 0.0, 586.403538
IDLE, 0.0, 0.0, 0.0, 586.427856
IDLE, 0.0, 0.0, 0.0, 586.450388
IDLE, 0.0, 0.0, 0.0, 586.475272
IDLE, 0.0, 0.0, 0.0, 586.506646
IDLE, 0.0, 0.0, 0.0, 586.528346
IDLE, 0.0, 0.0, 0.0, 586.548956
IDLE, 0.0, 0.0, 0.0, 586.576005
IDLE, 0.0, 0.0, 0.0, 586.599335
IDLE, 0.0, 0.0, 0.0, 586.608141
IDLE, 0.0, 0.0, 0.0, 586.618945
IDLE, 0.0, 0.0, 0.0, 586.648655
IDLE, 0.0, 0.0, 0.0, 586.665479
IDLE, 0.0, 0.0, 0.0, 586.6919
IDLE, 0.0, 0.0, 0.0, 586.714251
IDLE, 0.0, 0.0, 0.0, 586.734036
IDLE, 0.0, 0.0, 0.0, 586.753986
IDLE, 0.0, 0.0, 0.0, 586.774941
IDLE, 0.0, 0.0, 0.0, 586.802471
IDLE, 0.0, 0.0, 0.0, 586.823934
IDLE, 0.0, 0.0, 0.0, 586.856187
IDLE, 0.0, 0.0, 0.0, 586.880821
IDLE, 0.0, 0.0, 0.0, 586.896488
IDLE, 0.0, 0.0, 0.0, 586.920664
IDLE, 0.0, 0.0, 0.0, 586.938861
IDLE, 0.0, 0.0, 0.0, 586.958548
IDLE, 0.0, 0.0, 0.0, 586.96716
IDLE, 0.0, 0.0, 0.0, 586.97492
IDLE, 0.0, 0.0, 0.0, 587.002948
IDLE, 0.0, 0.0, 0.0, 587.020255
IDLE, 0.0, 0.0, 0.0, 587.034947
IDLE, 0.0, 0.0, 0.0, 587.056049
IDLE, 0.0, 0.0, 0.0, 587.07921
IDLE, 0.0, 0.0, 0.0, 587.099878
IDLE, 0.0, 0.0, 0.0, 587.124746
IDLE, 0.0, 0.0, 0.0, 587.143942
IDLE, 0.0, 0.0, 0.0, 587.168571
IDLE, 0.0, 0.0, 0.0, 587.19443
IDLE, 0.0, 0.0, 0.0, 587.217839
IDLE, 0.0, 0.0, 0.0, 587.244031
IDLE, 0.0, 0.0, 0.0, 587.261381
IDLE, 0.0, 0.0, 0.0, 587.27955
IDLE, 0.0, 0.0, 0.0, 587.303676
IDLE, 0.0, 0.0, 0.0, 587.320064
IDLE, 0.0, 0.0, 0.0, 587.341445
IDLE, 0.0, 0.0, 0.0, 587.364176
IDLE, 0.0, 0.0, 0.0, 587.379396
IDLE, 0.0, 0.0, 0.0, 587.402767
IDLE, 0.0, 0.0, 0.0, 587.422402
IDLE, 0.0, 0.0, 0.0, 587.439783
IDLE, 0.0, 0.0, 0.0, 587.457059
IDLE, 0.0, 0.0, 0.0, 587.47889
IDLE, 0.0, 0.0, 0.0, 587.497036
IDLE, 0.0, 0.0, 0.0, 587.521648
IDLE, 0.0, 0.0, 0.0, 587.539244
IDLE, 0.0, 0.0, 0.0, 587.558153
IDLE, 0.0, 0.0, 0.0, 587.591416
IDLE, 0.0, 0.0, 0.0, 587.615934
IDLE, 0.0, 0.0, 0.0, 587.643401
